"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83746099999","2011-07-17T16:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","010,1,N,0026,1","99999,9,9,Y","009900,1,N,1","+0300,1","+0140,1","99999,9",,,,,,,,"10149,1,99999,9",,,,,"MET045METAR SBGL 171600Z 01005KT CAVOK 30/14 Q1015;",
"83746099999","2011-07-17T17:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","020,1,N,0031,1","99999,9,9,Y","009900,1,N,1","+0300,1","+0150,1","99999,9",,,,,,,,"10139,1,99999,9",,,,,"MET045METAR SBGL 171700Z 02006KT CAVOK 30/15 Q1014;",
"83746099999","2011-07-17T18:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","050,1,N,0031,1","99999,9,9,Y","009900,1,N,1","+0290,1","+0170,1","99999,9",,,,,,,,"10139,1,99999,9",,,,,"MET045METAR SBGL 171800Z 05006KT CAVOK 29/17 Q1014;",
"83746099999","2011-07-17T19:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","180,1,N,0036,1","99999,9,9,Y","009900,1,N,1","+0280,1","+0160,1","99999,9",,,,,,,,"10139,1,99999,9",,,,,"MET045METAR SBGL 171900Z 18007KT CAVOK 28/16 Q1014;",
"83746099999","2011-07-17T20:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","140,1,N,0031,1","99999,9,9,Y","009900,1,N,1","+0260,1","+0160,1","99999,9",,,,,,,,"10139,1,99999,9",,,,,"MET045METAR SBGL 172000Z 14006KT CAVOK 26/16 Q1014;",
"83746099999","2011-07-17T21:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","130,1,N,0021,1","99999,9,9,Y","009900,1,N,1","+0240,1","+0170,1","99999,9",,,,,,,,"10139,1,99999,9",,,,,"MET045METAR SBGL 172100Z 13004KT CAVOK 24/17 Q1014;",
"83746099999","2011-07-17T22:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","270,1,N,0051,1","99999,9,9,Y","009900,1,N,1","+0240,1","+0170,1","99999,9",,,,,,,,"10149,1,99999,9",,,,,"MET045METAR SBGL 172200Z 27010KT CAVOK 24/17 Q1015;",
"83746099999","2011-07-17T23:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","270,1,N,0067,1","99999,9,9,Y","009900,1,N,1","+0230,1","+0180,1","99999,9",,,,,,,,"10159,1,99999,9",,,,,"MET045METAR SBGL 172300Z 27013KT CAVOK 23/18 Q1016;",
"83746099999","2011-07-18T00:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","270,1,N,0051,1","99999,9,9,Y","009900,1,N,1","+0220,1","+0180,1","99999,9",,,,,,,,"10169,1,99999,9",,,,,"MET045METAR SBGL 180000Z 27010KT CAVOK 22/18 Q1017;",
"83746099999","2011-07-18T01:00:00","4","-22.808903","-43.243647","8.53","GALEAO ANTONIO CARLOS JOBIM, BR","FM-15","SBGL ","V020","280,1,N,0057,1","99999,9,9,Y","009900,1,N,1","+0210,1","+0180,1","99999,9",,,,,,,,"10169,1,99999,9",,,,,"MET045METAR SBGL 180100Z 28011KT CAVOK 21/18 Q1017;",
