"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"83075099999","2020-01-01T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0041,1","99999,9,9,N","009999,1,9,9","+0280,1","+0220,1","99999,9","02,1,+01219,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,01219,1,99,9,99,9","10120,1,99999,9",,,,"MET051METAR SBGR 011300Z 31008KT 9999 FEW040 28/22 Q1012=",
"83075099999","2020-01-01T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0046,1","99999,9,9,N","009999,1,9,9","+0290,1","+0210,1","99999,9","04,1,+01097,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,01097,1,99,9,99,9","10120,1,99999,9",,,,"MET051METAR SBGR 011400Z 30009KT 9999 SCT036 29/21 Q1012=",
"83075099999","2020-01-01T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0041,1","01311,1,C,N","009999,1,9,9","+0310,1","+0220,1","99999,9","07,1,+01311,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01311,1,99,9,99,9","10110,1,99999,9",,,,"MET051METAR SBGR 011500Z 30008KT 9999 BKN043 31/22 Q1011=",
"83075099999","2020-01-01T16:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","280,1,N,0051,1","01494,1,C,N","009999,1,9,9","+0320,1","+0200,1","99999,9","07,1,+01494,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01494,1,99,9,99,9","10110,1,99999,9",,,,"MET051METAR SBGR 011600Z 28010KT 9999 BKN049 32/20 Q1011=",
"83075099999","2020-01-01T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0036,1","99999,9,9,N","009999,1,9,9","+0320,1","+0200,1","99999,9","04,1,+01372,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,01372,1,99,9,99,9","10100,1,99999,9",,,,"MET051METAR SBGR 011700Z 30007KT 9999 SCT045 32/20 Q1010=",
"83075099999","2020-01-01T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0046,1","01372,1,C,N","009999,1,9,9","+0320,1","+0190,1","99999,9","07,1,+01372,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01372,1,99,9,99,9","10080,1,99999,9",,,,"MET051METAR SBGR 011800Z 32009KT 9999 BKN045 32/19 Q1008=",
"83075099999","2020-01-01T19:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0051,1","01463,1,C,N","009999,1,9,9","+0330,1","+0180,1","99999,9","07,1,+01463,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,01463,1,99,9,99,9","10080,1,99999,9",,,,"MET051METAR SBGR 011900Z 30010KT 9999 BKN048 33/18 Q1008=",
"83075099999","2020-01-01T20:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","280,1,N,0046,1","01829,1,9,N","009999,1,9,9","+0310,1","+0190,1","99999,9","04,1,+01524,1,08,1","07,1,+01829,1,99,9","07,1,+03048,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,01524,1,99,9,99,9","10070,1,99999,9",,,,"MET068METAR SBGR 012000Z 28009KT 9999 SCT050TCU BKN060 BKN100 31/19 Q1007=",
"83075099999","2020-01-01T21:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","130,1,N,0026,1","99999,9,9,Y","009900,5,9,9","+0260,1","+0190,1","99999,9",,,,,,,"10090,1,99999,9",,,,"MET045METAR SBGR 012100Z 13005KT CAVOK 26/19 Q1009=",
"83075099999","2020-01-01T21:30:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","070,1,N,0031,1","01829,1,9,N","009999,1,9,9","+0260,1","+0200,1","99999,9","02,1,+01524,1,09,1","07,1,+01829,1,99,9","07,1,+03048,1,99,9",,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,01524,1,99,9,99,9","10090,1,99999,9","16,1","17,1",,"MET075SPECI SBGR 012130Z 07006KT 9999 TS VCSH FEW050CB BKN060 BKN100 26/20 Q1009=",
