"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","OC1","REM","EQD"
"83075099999","2017-01-01T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0077,1","01372,1,9,N","009999,1,9,9","+0310,1","+0200,1","99999,9",,"07,1,+01372,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01372,1,99,9,99,9","10150,1,99999,9",,,,"MET051METAR SBGR 011700Z 30015KT 9999 BKN045 31/20 Q1015=",
"83075099999","2017-01-01T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0310,1","+0200,1","99999,9",,"04,1,+01372,1,99,9","02,1,+01524,1,08,1",,,"9,AGL   ,+99999,+99999","99,99,9,04,1,99,9,01372,1,99,9,99,9","10150,1,99999,9",,,,"MET061METAR SBGR 011800Z 29012KT 9999 SCT045 FEW050TCU 31/20 Q1015=",
"83075099999","2017-01-01T19:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0077,1","01524,1,9,N","009999,1,9,9","+0300,1","+0190,1","99999,9",,"07,1,+01524,1,99,9","04,1,+01676,1,09,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01524,1,99,9,99,9",,"13,1","16,1","0170,1","MET074METAR SBGR 011900Z 29015G33KT 9999 VCSH VCTS BKN050 SCT055CB 30/19 Q1 015=",
"83075099999","2017-01-01T20:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0180,1","99999,9",,,,,,,,"10150,1,99999,9",,,,"MET045METAR SBGR 012000Z 00000KT CAVOK 25/18 Q1015=",
"83075099999","2017-01-01T21:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0036,1","99999,9,9,Y","999999,9,9,9","+0270,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,"MET045METAR SBGR 012100Z 29007KT CAVOK 27/20 Q1015=",
"83075099999","2017-01-01T22:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0026,1","99999,9,9,Y","999999,9,9,9","+0260,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,"MET045METAR SBGR 012200Z 31005KT CAVOK 26/20 Q1015=",
"83075099999","2017-01-01T23:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","280,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0210,1","99999,9",,,,,,,,"10160,1,99999,9",,,,"MET045METAR SBGR 012300Z 28004KT CAVOK 25/21 Q1016=",
"83075099999","2017-01-02T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0210,1","99999,9",,,,,,,,"10160,1,99999,9",,,,"MET045METAR SBGR 020000Z 30003KT CAVOK 25/21 Q1016=",
"83075099999","2017-01-02T01:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0200,1","99999,9",,,,,,,,"10170,1,99999,9",,,,"MET045METAR SBGR 020100Z 29003KT CAVOK 24/20 Q1017=",
"83075099999","2017-01-02T02:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","280,1,N,0026,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0190,1","99999,9",,,,,,,,"10160,1,99999,9",,,,"MET045METAR SBGR 020200Z 28005KT CAVOK 25/19 Q1016=",
"83075099999","2017-01-02T03:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0026,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0190,1","99999,9",,,,,,,,"10160,1,99999,9",,,,"MET045METAR SBGR 020300Z 29005KT CAVOK 25/19 Q1016=",
"83075099999","2017-01-02T04:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0180,1","99999,9",,,,,,,,"10160,1,99999,9",,,,"MET045METAR SBGR 020400Z 31004KT CAVOK 24/18 Q1016=",
"83075099999","2017-01-02T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0005,1","99999,9,9,Y","999999,9,9,9","+0240,1","+0190,1","99999,9",,,,,,,,"10150,1,99999,9",,,,"MET045METAR SBGR 020500Z 31001KT CAVOK 24/19 Q1015=",
"83075099999","2017-01-02T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","280,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0190,1","99999,9",,,,,,,,"10140,1,99999,9",,,,"MET045METAR SBGR 020600Z 28004KT CAVOK 23/19 Q1014=",
"83075099999","2017-01-02T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0220,1","+0190,1","99999,9",,,,,,,,"10140,1,99999,9",,,,"MET045METAR SBGR 020700Z 00000KT CAVOK 22/19 Q1014=",
"83075099999","2017-01-02T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0015,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0190,1","99999,9",,,,,,,,"10140,1,99999,9",,,,"MET045METAR SBGR 020800Z 31003KT CAVOK 23/19 Q1014=",
"83075099999","2017-01-02T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","350,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0190,1","99999,9",,,,,,,,"10150,1,99999,9",,,,"MET045METAR SBGR 020900Z 35004KT CAVOK 23/19 Q1015=",
"83075099999","2017-01-02T10:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","999,9,C,0000,1","99999,9,9,Y","999999,9,9,9","+0230,1","+0200,1","99999,9",,,,,,,,"10150,1,99999,9",,,,"MET045METAR SBGR 021000Z 00000KT CAVOK 23/20 Q1015=",
