"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83075099999","2012-07-16T05:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","110,1,N,0021,1","00150,1,9,N","004000,1,N,1","+0120,1","+0120,1","99999,9",,"08,1,+00150,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10261,1,99999,9","51,1",,,,"MET055METAR SBGR 160500Z 11004KT 4000 -DZ OVC005 12/12 Q1026;",
"83075099999","2012-07-16T06:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","130,1,N,0026,1","00150,1,9,N","004000,1,N,1","+0120,1","+0120,1","99999,9",,"08,1,+00150,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9","51,1",,,,"MET055METAR SBGR 160600Z 13005KT 4000 -DZ OVC005 12/12 Q1025;",
"83075099999","2012-07-16T07:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","160,1,N,0015,1","00150,1,9,N","004000,1,N,1","+0120,1","+0120,1","99999,9",,"08,1,+00150,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9","51,1",,,,"MET055METAR SBGR 160700Z 16003KT 4000 -DZ OVC005 12/12 Q1025;",
"83075099999","2012-07-16T08:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","180,1,N,0010,1","00150,1,9,N","003000,1,N,1","+0120,1","+0120,1","99999,9",,"08,1,+00150,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9","51,1",,,,"MET055METAR SBGR 160800Z 18002KT 3000 -DZ OVC005 12/12 Q1025;",
"83075099999","2012-07-16T09:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","140,1,N,0026,1","00150,1,9,N","004000,1,N,1","+0120,1","+0120,1","99999,9",,"08,1,+00150,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9","51,1",,,,"MET055METAR SBGR 160900Z 14005KT 4000 -DZ OVC005 12/12 Q1025;",
"83075099999","2012-07-16T10:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","150,1,N,0021,1","00180,1,C,N","011265,1,N,1","+0120,1","+0120,1","99999,9","09,R,1400,9","08,1,+00180,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10260,1,99999,9",,,,,"MET099METAR SBGR 161000Z 15004KT 9999 R09R/1400D R09L/1500D R27R/1600D R27L /1900D DZ OVC006 12/12 Q1026;",
"83075099999","2012-07-16T10:30:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","150,1,N,0015,1","00180,1,9,N","004000,1,N,1","+0120,1","+0120,1","99999,9",,"08,1,+00180,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10271,1,99999,9","51,1",,,,"MET055SPECI SBGR 161030Z 15003KT 4000 -DZ OVC006 12/12 Q1027;",
"83075099999","2012-07-16T11:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","130,1,N,0021,1","00210,1,9,N","005000,1,N,1","+0120,1","+0120,1","99999,9",,"08,1,+00210,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10271,1,99999,9","51,1",,,,"MET060METAR SBGR 161100Z 13004KT 5000 -DZ OVC007 12/12 Q1027 REDZ;",
"83075099999","2012-07-16T12:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","160,1,N,0021,1","00210,1,9,N","005000,1,N,1","+0120,1","+0120,1","99999,9",,"07,1,+00210,1,99,9","08,1,+00330,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10271,1,99999,9","61,1",,,,"MET062METAR SBGR 161200Z 16004KT 5000 -RA BKN007 OVC011 12/12 Q1027;",
"83075099999","2012-07-16T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","150,1,N,0021,1","00210,1,9,N","006000,1,N,1","+0120,1","+0120,1","99999,9",,"07,1,+00210,1,99,9","08,1,+00330,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10281,1,99999,9","51,1",,,,"MET062METAR SBGR 161300Z 15004KT 6000 -DZ BKN007 OVC011 12/12 Q1028;",
"83075099999","2012-07-16T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","140,1,N,0026,1","00270,1,9,N","008000,1,N,1","+0130,1","+0130,1","99999,9",,"07,1,+00270,1,99,9","08,1,+00900,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10271,1,99999,9",,,,,"MET058METAR SBGR 161400Z 14005KT 8000 BKN009 OVC030 13/13 Q1027;",
"83075099999","2012-07-16T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","120,1,N,0031,1","00270,1,9,N","003000,1,N,1","+0130,1","+0130,1","99999,9",,"07,1,+00270,1,99,9","08,1,+00390,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10271,1,99999,9","61,1",,,,"MET062METAR SBGR 161500Z 12006KT 3000 -RA BKN009 OVC013 13/13 Q1027;",
"83075099999","2012-07-16T16:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","140,1,N,0031,1","00180,1,9,N","007000,1,N,1","+0130,1","+0130,1","99999,9",,"07,1,+00180,1,99,9","08,1,+00330,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10261,1,99999,9","51,1",,,,"MET062METAR SBGR 161600Z 14006KT 7000 -DZ BKN006 OVC011 13/13 Q1026;",
"83075099999","2012-07-16T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","150,1,N,0031,1","00180,1,9,N","007000,1,N,1","+0140,1","+0140,1","99999,9",,"07,1,+00180,1,99,9","08,1,+00330,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9",,,,,"MET058METAR SBGR 161700Z 15006KT 7000 BKN006 OVC011 14/14 Q1025;",
"83075099999","2012-07-16T17:30:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","230,1,N,0021,1","00180,1,9,N","003000,1,N,1","+0130,1","+0130,1","99999,9",,"07,1,+00180,1,99,9","08,1,+00330,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10261,1,99999,9","10,1","63,1",,,"MET064SPECI SBGR 161730Z 23004KT 3000 RA BR BKN006 OVC011 13/13 Q1026;",
"83075099999","2012-07-16T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","150,1,N,0026,1","00210,1,9,N","006000,1,N,1","+0130,1","+0130,1","99999,9",,"07,1,+00210,1,99,9","08,1,+00390,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9","61,1",,,,"MET067METAR SBGR 161800Z 15005KT 6000 -RA BKN007 OVC013 13/13 Q1025 RERA;",
"83075099999","2012-07-16T19:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","SBGR ","V020","120,1,N,0021,1","00270,1,9,N","011265,1,N,1","+0140,1","+0140,1","99999,9",,"08,1,+00270,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9",,,,,"MET051METAR SBGR 161900Z 12004KT 9999 OVC009 14/14 Q1025;",
"83075099999","2012-07-16T19:17:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","SBGR ","V020","150,1,N,0026,1","00270,1,9,N","004000,1,N,1","+0130,1","+0130,1","99999,9",,"08,1,+00270,1,99,9",,,,"08,99,1,99,9,99,9,99999,9,99,9,99,9","10251,1,99999,9","10,1","61,1",,,"MET058SPECI SBGR 161917Z 15005KT 4000 -RA BR OVC009 13/13 Q1025;",
