CODE,COUNTRY,ICAO,LAT,LON,ELEV(M),BEGIN,END
01088199999,NO,,+68.467,+017.500,+0023.0,20080101,20081231
01088299999,NO,ENRO,+62.578,+011.342,+0626.1,20050102,20200808
01088399999,NO,,+61.833,+006.117,+0060.0,20080101,20081231
01088499999,NO,ENSN,+59.185,+009.567,+0141.1,20050103,20151109
01088599999,NO,,+70.600,+029.733,+0153.0,19940718,20081231
01088699999,NO,ENSL,+58.367,+001.900,+0030.0,20090201,20200808
01088799999,NO,ENQC,+60.886,+003.610,+0020.0,20110512,20200808
01089099999,NO,ENKR,+69.726,+029.893,+0086.3,19401101,20200808
01092099999,NO,,+70.700,+030.083,+0009.0,19730101,20200402
01097099999,NO,,+70.350,+031.050,+0012.0,19930209,20081231
01098099999,NO,,+70.367,+031.100,+0015.0,19310103,20200808
01098599999,,,,,,19741117,19750904
01098699999,,,,,,19741117,19750904
01098799999,,,,,,19741117,19750904
01099099999,NO,ENSS,+70.355,+031.045,+0012.8,20050102,20200808
01101099999,NO,,,,,19851202,20041105
01102099999,NO,,+65.200,+011.000,+0016.0,19750228,20200808
01102599999,NO,ENHE,+65.333,+007.317,+0080.0,19990424,20200808
01103099999,NO,,+65.100,+011.700,+0047.0,19730101,20070307
01104099999,NO,,+68.367,+015.950,+0008.0,20080101,20080817
01105099999,NO,,+68.367,+015.950,+0008.0,19730101,20200808
01105199999,NO,,+67.417,+011.883,+0018.0,20070307,20070307
01106099999,NO,,+67.517,+012.100,+0002.0,19280101,20081204
01107099999,NO,ENRS,+67.517,+012.100,+0004.0,19880303,20200808
01108099999,NO,,+65.700,+011.850,+0009.1,19910801,20200808
01109099999,NO,,+65.867,+012.183,+0006.0,19730101,19800910
01110099999,NO,,+66.000,+011.683,+0033.0,19961201,20050319
01111099999,NO,,+65.467,+012.217,+0005.0,19730116,19730718
01112099999,NO,ENBN,+65.461,+012.218,+0007.6,19730101,20200808
01113099999,NO,,+66.800,+013.983,+0039.0,20040406,20091216
01113399999,NO,ENDI,+60.417,+008.513,+0798.0,19860509,20030427
01114099999,NO,,+66.900,+013.633,+0008.0,20090702,20200808
01115099999,NO,,+66.767,+012.483,+0013.0,19730101,20200808
01116099999,NO,ENST,+65.950,+012.467,+0017.1,19730401,20200808
01117099999,NO,,+65.817,+012.417,+0021.0,20040119,20200808
01121099999,NO,,+66.367,+012.617,+0010.0,19730101,20200808
01122099999,NO,ENMS,+65.784,+013.215,+0072.2,19881014,20200808
01124099999,NO,,+64.167,+012.467,+0195.0,20050218,20200808
01131099999,NO,,+67.883,+013.050,+0031.0,19730101,19850625
01132099999,NO,,+65.167,+013.367,+0319.0,20080229,20200808
01133099999,NO,,+65.617,+013.283,+0050.0,20111129,20200808
01134099999,NO,,+65.183,+013.417,+0339.0,19730101,20070630
01135099999,NO,,+66.117,+013.583,+0123.0,20111129,20200808
01137099999,NO,,+66.933,+013.450,+0012.0,19730806,20070307
01138099999,NO,,+67.300,+013.500,+0014.0,19850912,20070307
01139099999,NO,ENVR,+67.650,+012.717,+0004.0,20110928,20200808
01141099999,NO,ENLK,+68.150,+013.617,+0026.0,19730620,20200808
01143099999,NO,,+68.050,+016.083,+0019.0,20070806,20180917
01144099999,NO,,+67.400,+013.883,+0024.0,20050315,20200808
01145099999,NO,,+68.350,+013.967,+0015.0,19730101,19820504
01146099999,NO,,+66.233,+013.883,+0005.0,19730101,20200808
01147099999,NO,,+65.833,+014.183,+0406.0,19400907,20200808
01148099999,NO,,+66.383,+014.517,+0110.0,20110616,20200808
01149099999,NO,,+66.333,+014.100,+0042.0,19730101,20070228
01150099999,NO,,+66.500,+014.950,+0251.0,19730103,20200808
01150199999,NO,,+65.683,+014.167,+0385.0,20020312,20020312
01150599999,,,,,,19751101,19751130
01151099999,NO,ENRA,+66.367,+014.300,+0070.0,19730401,20200808
01152099999,NO,ENBO,+67.269,+014.365,+0012.8,19400917,20200808
01153099999,NO,,+67.283,+014.450,+0033.0,20111003,20140611
01154099999,NO,,+68.583,+014.300,+0030.0,19940406,20170801
01155099999,NO,,+68.633,+014.467,+0012.0,19730101,20041201
01156099999,NO,,+68.600,+014.433,+0007.6,20040510,20200808
01158099999,NO,,+67.167,+015.483,+0008.0,20100114,20200808
01160099999,NO,,+68.150,+014.650,+0011.0,19730101,20200808
01161099999,NO,ENSH,+68.250,+014.667,+0009.0,19730620,20200808
01162099999,NO,ENSK,+68.583,+015.017,+0003.0,19730620,20200808
01163099999,NO,,+66.500,+015.250,+0549.0,19730101,19770823
01165099999,NO,,+67.833,+014.783,+0006.0,19730101,19781031
01167099999,NO,,+68.700,+015.417,+0003.0,19850201,20191222
01168099999,NO,,+68.650,+015.283,+0023.0,19730101,20060611
01169099999,NO,,+66.933,+015.317,+0037.0,19830101,20200808
01169199999,NO,,+66.967,+015.317,+0026.0,19730101,19781008
01170099999,NO,,+67.233,+015.317,+0165.0,19730101,19900307
01172099999,NO,,+68.000,+015.617,+0053.0,19730101,20060311
01173099999,,,,,,19730101,19730731
01175199999,NO,,+68.400,+016.000,+0010.0,20040108,20040108
01176099999,NO,,+68.567,+016.267,+0025.0,19730101,19780118
01180099999,NO,,+68.800,+016.533,+0045.0,20040510,20200808
01182099999,NO,,+68.583,+016.583,+0007.0,19730101,19851119
01183099999,NO,ENEV,+68.491,+016.678,+0025.6,19750905,20200808
01184099999,NO,,+68.933,+016.683,+0045.0,19730101,19780613
01184199999,NO,,+68.933,+016.683,+0045.0,20070307,20070307
01189099999,NO,,+68.483,+016.883,+0019.0,19730102,20050302
01189599999,,,,,,19731008,19750904
01191099999,NO,,+68.283,+017.317,+0006.0,19730101,19961104
01192099999,NO,,+68.417,+017.650,+0200.0,20110203,20200808
01193099999,NO,ENNK,+68.467,+017.500,+0023.0,20010706,20170403
01194099999,NO,ENNK,+68.467,+017.500,+0023.0,19730101,20041231
01196099999,NO,,+68.750,+017.817,+0021.0,19730101,20020808
01198099999,NO,,+68.783,+019.700,+0204.0,20100114,20200808
01199099999,NO,,+68.750,+023.533,+0382.0,19490101,20200808
01203099999,NO,,+62.033,+004.983,+0041.0,19310904,20200808
01205099999,NO,,+62.333,+005.267,+0037.2,19730101,20200808
01207099999,NO,,+62.100,+005.583,+0041.0,20040510,20180630
01209099999,NO,ENOV,+62.183,+006.067,+0074.0,19841211,20200808
01209199999,NO,ENOV,+62.183,+006.050,+0074.0,19840910,19841127
01210099999,NO,ENAL,+62.560,+006.110,+0021.0,19730101,20200808
01212099999,NO,,+62.867,+006.533,+0015.0,19550101,20200808
01214099999,NO,,+62.650,+006.767,+0043.0,20090112,20200808
01215099999,NO,,+62.620,+007.230,+0035.0,19730101,20090630
01216099999,NO,,+62.617,+007.217,+0016.0,19731226,20020527
01216199999,NO,,+62.617,+007.167,+0049.0,20040412,20040412
01217099999,NO,ENML,+62.745,+007.263,+0003.0,19760201,20200808
01218099999,NO,,+62.233,+007.417,+0017.0,19730101,20200808
01220099999,NO,,+62.450,+007.767,+1294.0,20100315,20200808
01221099999,NO,,+63.050,+009.083,+0415.0,20080115,20200802
01222099999,,,,,,19730101,19751231
01223099999,NO,ENKB,+63.112,+007.825,+0062.2,19730101,20200808
01224099999,NO,,+62.467,+006.217,+0050.0,19841201,20200616
01225099999,NO,,+63.517,+007.950,+0005.0,19730101,20200808
01227099999,NO,,+62.717,+008.783,+0405.0,19730101,20200808
01227399999,NO,,+62.833,+008.300,+0069.0,20050101,20150108
01228099999,NO,,+63.850,+008.467,+0006.0,19730101,20200808
01230099999,NO,,+62.267,+008.200,+0579.0,19730101,20200808
01231099999,NO,,+62.233,+008.367,+0621.0,19771030,20080731
01232099999,NO,,+62.450,+007.850,+0067.0,19730101,20200808
01233099999,NO,,+62.083,+009.117,+0638.0,20061121,20200808
01234099999,NO,,+63.317,+009.850,+0004.0,20061121,20200808
01235099999,NO,,+62.083,+009.133,+0645.0,19360101,19760602
01236099999,NO,,+62.100,+009.050,+0626.0,20050218,20100104
01237099999,NO,,+63.517,+009.117,+0013.0,20050402,20200808
01238099999,NO,,+62.117,+009.283,+0974.0,19730101,20200808
01239099999,NO,,+62.217,+009.550,+1012.0,20100907,20200808
01240099999,NO,,+64.167,+009.400,+0016.0,19850110,20200808
01241099999,NO,ENOL,+63.699,+009.604,+0008.5,19730101,20200808
01242099999,NO,,+63.967,+010.217,+0030.0,20080115,20200808
01243099999,NO,,+63.333,+009.650,+0300.0,19730101,19761119
01245099999,NO,,+62.600,+009.667,+0606.0,19760201,20200808
01248099999,NO,,+63.850,+009.733,+0004.0,19730101,19751219
01250099999,NO,,+62.133,+010.000,+0694.0,20110928,20200808
01252099999,NO,,+62.817,+010.017,+0475.0,19730101,20080930
01253099999,NO,,+62.950,+010.183,+0299.0,20090112,20200808
01254099999,NO,,+62.983,+010.550,+0127.0,20090112,20200808
01257099999,NO,,+63.417,+010.450,+0131.5,20040406,20200808
01258099999,NO,,+63.417,+010.433,+0113.0,19730101,19810714
01259099999,NO,,+64.400,+010.450,+0018.4,19730101,20200808
01262099999,NO,,+64.800,+010.550,+0033.0,19280102,20200808
01265099999,NO,,+62.267,+010.733,+0482.3,19490101,20200808
01268099999,,,,,,19730101,19750125
01270099999,NO,,+63.483,+010.883,+0040.0,20111003,20200808
01271099999,NO,ENVA,+63.458,+010.940,+0017.1,19400413,20200808
01272099999,NO,,+63.567,+010.700,+0070.0,20110929,20200808
01273099999,NO,,+63.233,+011.017,+0160.0,20071016,20200808
01274099999,NO,,+63.200,+011.117,+0242.0,19730101,20061115
01277099999,NO,,+64.017,+011.450,+0080.0,19730101,20200808
01277199999,NO,,+63.717,+011.233,+0097.0,19730101,19730216
01278099999,NO,,+63.783,+011.683,+0083.0,19850102,20181031
01280099999,NO,,+64.133,+011.333,+0118.0,19730101,20081231
01281099999,NO,,+64.733,+012.850,+0140.0,20070105,20200808
01282099999,NO,ENRM,+64.850,+011.233,+0014.0,19950901,20200808
01282399999,NO,,+64.850,+011.233,+0014.0,19910827,19950831
01287099999,NO,,+62.683,+011.817,+0747.0,20080115,20200808
01288099999,NO,,+62.567,+011.383,+0630.0,19730101,20200808
01289099999,NO,ENRO,+62.583,+011.350,+0626.0,19840909,20041230
01289199999,NO,ENRO,+62.583,+011.383,+0626.0,19790301,19840817
01290099999,NO,ENNM,+64.467,+011.583,+0002.0,19730401,20200808
01291099999,NO,,+64.533,+012.383,+0095.0,20090112,20200808
01292099999,NO,,+63.417,+011.700,+0240.0,19730101,20040930
01293099999,NO,,+63.417,+011.733,+0171.0,20050215,20200808
01294099999,,,,,,19730101,19740629
01295099999,NO,,+64.550,+012.150,+0027.0,19730101,20070612
01296099999,NO,,+64.250,+012.417,+0127.0,19730101,19770606
01298099999,NO,,+64.450,+013.717,+0433.0,19730101,20191016
01300099999,NO,,+61.200,+002.267,+0078.0,20010601,20200808
01300599999,FO,ENSF,+61.250,+001.850,+0117.7,19841204,20200808
01304099999,NO,,+61.567,+004.683,+0025.0,19840901,20200808
01306099999,NO,,+60.750,+004.717,+0023.0,19730101,20041229
01307099999,NO,,+60.750,+004.717,+0020.0,20050218,20200808
01308099999,NO,,+61.300,+005.050,+0007.0,20110928,20200808
01309099999,NO,,+61.567,+004.800,+0010.0,19310104,20051022
01310099999,NO,ENFL,+61.584,+005.025,+0011.3,19800407,20200808
01311099999,NO,ENBR,+60.293,+005.218,+0051.8,19730101,20200808
01314099999,NO,,+60.517,+005.717,+0010.0,20120615,20200808
01315099999,NO,,+60.633,+006.100,+0017.0,20101214,20200808
01316099999,NO,,+60.400,+005.317,+0040.0,19730101,19851230
01317099999,NO,,+60.383,+005.333,+0036.0,19730101,20200808
01318099999,NO,,+61.783,+006.183,+0051.0,20050614,20171231
01319099999,NO,,+61.033,+005.383,+0038.0,19730101,20200808
01320099999,NO,ENSD,+61.833,+006.117,+0060.0,19810904,20200808
01321099999,NO,,+61.900,+006.550,+0208.0,19730101,20200808
01322099999,NO,,+61.467,+005.917,+0064.0,19730101,20171223
01323099999,NO,ENBL,+61.393,+005.764,+0327.0,19840502,20200808
01325099999,NO,,+60.833,+005.950,+0114.0,19730101,20080924
01326099999,NO,,+60.850,+005.983,+0125.0,20081008,20200808
01327099999,NO,,+60.383,+005.967,+0455.0,20061121,20200808
01328099999,NO,,+60.400,+005.917,+0408.0,19730101,20060726
01329099999,NO,,+60.350,+006.267,+0050.0,20050218,20200808
01330099999,NO,,+60.217,+005.983,+0006.0,19730101,20050910
01332099999,NO,,+61.430,+006.770,+0003.0,20060201,20200808
01336099999,NO,,+60.650,+006.217,+0328.0,19730101,20200808
01337099999,NO,,+60.633,+006.433,+0055.0,20050218,20200808
01338099999,NO,,+61.167,+006.650,+0051.0,20040706,20200808
01339099999,NO,,+61.167,+006.650,+0053.0,19730101,20011102
01340099999,NO,,+60.420,+007.280,+0737.0,20050726,20200808
01341099999,NO,,+60.467,+006.867,+0166.0,19830101,20070227
01342099999,NO,,+60.317,+006.650,+0012.0,19730101,20200808
01344099999,NO,,+60.700,+006.950,+0695.0,19730101,20200808
01345099999,NO,,+60.717,+007.217,+0960.0,19731007,20200808
01346099999,NO,,+60.650,+007.267,+1162.0,20111125,20200808
01347099999,NO,ENSG,+61.156,+007.137,+0511.0,19850118,20200808
01347199999,NO,ENSG,+61.167,+007.133,+0498.0,19840801,19841217
01350099999,NO,,+60.600,+007.533,+1208.0,20030330,20200808
01351099999,NO,,+60.600,+007.500,+1224.0,19730102,20011210
01352099999,NO,,+60.183,+007.483,+1250.0,20040107,20200808
01355099999,NO,,+61.100,+007.500,+0005.0,19730101,20200808
01356099999,FO,,+61.517,+007.900,+2062.0,19881125,20140827
01357099999,NO,,+60.867,+008.517,+0804.2,19730101,20200808
01358099999,NO,,+60.850,+008.600,+0604.0,20110929,20200808
01359099999,NO,,+60.533,+008.200,+0773.0,19730101,20200808
01359199999,NO,,+60.517,+007.867,+0988.0,20070307,20070307
01360099999,NO,,+61.900,+007.900,+0664.0,19730101,20200808
01361099999,NO,,+62.017,+007.667,+0872.0,19730101,20200808
01362099999,NO,,+61.667,+008.367,+1894.0,20090626,20200808
01363099999,,,,,,19730101,19740906
01364099999,NO,,+61.183,+008.117,+0955.1,19490101,20200808
01365099999,NO,,+61.251,+008.917,+0965.0,19730404,20200808
01366099999,NO,,+61.567,+008.000,+1413.0,19790301,20200808
01367099999,NO,,+60.983,+009.217,+0365.4,19821001,20200808
01367199999,NO,,+61.233,+008.933,+0828.0,19730101,19801105
01368099999,NO,ENFG,+61.016,+009.288,+0822.0,19881014,20200808
01369099999,NO,,+60.917,+009.283,+0639.0,19881001,20171230
01370099999,NO,,+61.517,+009.400,+0928.0,19730101,20200808
01371099999,NO,,+61.117,+009.067,+0521.0,19730101,20200808
01372099999,NO,,+60.567,+009.133,+0167.0,19730101,20040121
01373099999,NO,,+60.567,+009.133,+0166.0,19730101,20200808
01374099999,NO,,+60.933,+010.033,+0542.0,19810501,20200808
01374199999,,,,,,19730101,19790810
01374399999,NO,,+61.000,+009.300,+0822.0,19880105,19880913
01375099999,NO,,+61.467,+010.133,+1028.0,19730101,20200808
01375599999,NO,ENGC,+61.033,+002.033,+0010.0,19891115,20200808
01376099999,NO,,+60.383,+009.600,+0142.0,19730101,20200808
01378099999,NO,,+61.100,+010.467,+0239.0,19730101,20200808
01379099999,NO,,+61.883,+010.150,+0739.0,19730101,20051209
01380099999,NO,,+61.650,+010.117,+0930.0,19850110,20200613
01380199999,NO,,+61.167,+009.967,+0816.0,19741114,19840827
01381099999,NO,,+60.700,+010.867,+0264.0,20111003,20200808
01382099999,NO,,+60.767,+010.800,+0128.0,19730101,20200808
01383099999,NO,,+61.400,+011.080,+0255.0,19730101,20200808
01383999999,NO,ENHA,+60.817,+011.067,+0223.0,19870205,19900222
01384099999,NO,ENGM,+60.194,+011.100,+0207.6,19400511,20200808
01385099999,NO,,+60.817,+011.067,+0222.3,20061024,20200808
01386099999,NO,,+60.800,+011.100,+0132.0,20090701,20200808
01387099999,NO,,+61.450,+010.183,+0200.0,20110929,20200808
01389099999,NO,,+61.183,+011.367,+0255.7,19730101,20200808
01391099999,NO,,+60.617,+012.017,+0188.0,19730101,20050331
01392099999,NO,,+60.617,+012.017,+0185.0,20050218,20200808
01393099999,NO,,+61.883,+012.033,+0673.5,19730101,20200808
01397099999,NO,,+61.300,+012.267,+0361.4,19730101,20200808
01400099999,NO,,+56.550,+003.217,+0048.8,19981223,20200808
01401099999,NO,,+59.983,+002.250,+0048.0,20010601,20060718
01403099999,NO,,+59.300,+004.867,+0056.3,19280102,20200808
01403399999,NO,ENEK,+56.550,+003.250,+0048.8,19810506,20200808
01403599999,NO,,+59.350,+005.217,+0023.0,19751101,19840807
01406099999,NO,,+59.917,+005.067,+0016.0,19730101,20200808
01408099999,NO,ENHD,+59.345,+005.208,+0026.2,19840909,20200808
01409099999,NO,,+59.150,+005.250,+0007.0,20050218,20051028
01411099999,NO,,+59.067,+005.417,+0022.0,20050612,20200808
01412099999,NO,,+58.650,+005.567,+0026.0,19730101,20200808
01413099999,NO,,+58.750,+005.650,+0087.0,20110928,20200808
01414099999,NO,,+59.433,+005.067,+0025.0,19890520,20200808
01415099999,NO,ENZV,+58.877,+005.638,+0008.8,19400410,20200808
01416099999,NO,,+58.950,+005.733,+0072.0,20080724,20200808
01417099999,NO,,+59.483,+005.750,+0065.0,19730103,20200808
01418099999,NO,,+60.017,+005.200,+0032.0,19730101,20200808
01419099999,NO,,+59.050,+006.117,+0300.0,20100702,20200808
