"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83075099999","2016-01-01T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0041,1","00792,1,9,N","009999,1,9,9","+0270,1","+0210,1","99999,9",,"07,1,+00792,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00792,1,99,9,99,9","10160,1,99999,9",,,,"0103,1","MET054METAR SBGR 011300Z 30008G20KT 9999 BKN026 27/21 Q1016=",
"83075099999","2016-01-01T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0041,1","00914,1,9,N","009999,1,9,9","+0270,1","+0220,1","99999,9",,"07,1,+00914,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00914,1,99,9,99,9","10160,1,99999,9",,,,,"MET051METAR SBGR 011400Z 30008KT 9999 BKN030 27/22 Q1016=",
"83075099999","2016-01-01T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0026,1","01219,1,9,N","009999,1,9,9","+0290,1","+0230,1","99999,9",,"07,1,+01219,1,99,9",,,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01219,1,99,9,99,9","10150,1,99999,9",,,,,"MET051METAR SBGR 011500Z 30005KT 9999 BKN040 29/23 Q1015=",
"83075099999","2016-01-01T16:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0057,1","99999,9,9,Y","999999,9,9,9","+0290,1","+0210,1","99999,9",,,,,,,,"10140,1,99999,9",,,,,"MET045METAR SBGR 011600Z 29011KT CAVOK 29/21 Q1014=",
"83075099999","2016-01-01T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","280,1,N,0041,1","01372,1,9,N","009999,1,9,9","+0310,1","+0210,1","99999,9",,"07,1,+01372,1,99,9","02,1,+01829,1,08,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01372,1,99,9,99,9","10130,1,99999,9",,,,,"MET061METAR SBGR 011700Z 28008KT 9999 BKN045 FEW060TCU 31/21 Q1013=",
"83075099999","2016-01-01T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","220,1,N,0015,1","01372,1,9,N","009999,1,9,9","+0270,1","+0220,1","99999,9",,"07,1,+01372,1,99,9","02,1,+01524,1,08,1",,,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01372,1,99,9,99,9","10120,1,99999,9",,,,,"MET061METAR SBGR 011800Z 22003KT 9999 BKN045 FEW050TCU 27/22 Q1012=",
"83075099999","2016-01-01T19:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","170,1,N,0031,1","01219,1,9,N","009000,1,9,9","+0260,1","+0220,1","99999,9",,"07,1,+01219,1,99,9","02,1,+01524,1,08,1","08,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,01219,1,99,9,99,9","10120,1,99999,9","61,1",,,,"MET072METAR SBGR 011900Z 17006KT 9000 -RA BKN040 FEW050TCU OVC080 26/22 Q1012=",
"83075099999","2016-01-01T19:10:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","190,1,N,0036,1","00914,1,9,N","004500,1,9,9","+0230,1","+0220,1","99999,9",,"07,1,+00914,1,99,9","02,1,+01524,1,08,1","08,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00914,1,99,9,99,9","10120,1,99999,9","10,1","63,1",,,"MET074SPECI SBGR 011910Z 19007KT 4500 RA BR BKN030 FEW050TCU OVC080 23/22 Q1012=",
"83075099999","2016-01-01T19:17:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","120,1,N,0041,1","00914,1,9,N","003500,1,9,9","+0230,1","+0220,1","99999,9",,"07,1,+00914,1,99,9","02,1,+01524,1,08,1","08,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00914,1,99,9,99,9","10130,1,99999,9","10,1","65,1",,,"MET075SPECI SBGR 011917Z 12008KT 3500 +RA BR BKN030 FEW050TCU OVC080 23/22 Q1013=",
"83075099999","2016-01-01T19:26:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","150,1,N,0015,1","00610,1,9,N","004000,1,9,9","+0230,1","+0220,1","99999,9",,"07,1,+00610,1,99,9","02,1,+01524,1,09,1","08,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00610,1,99,9,99,9","10130,1,99999,9","10,1","95,1",,,"MET080SPECI SBGR 011926Z 15003KT 4000 TSRA BR BKN020 FEW050CB OVC080 23/22 Q1013 RERA=",
"83075099999","2016-01-01T19:39:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-16","99999","V020","360,1,N,0026,1","00610,1,9,N","002500,1,9,9","+0220,1","+0220,1","99999,9",,"07,1,+00610,1,99,9","02,1,+01524,1,09,1","08,1,+02438,1,99,9",,"9,AGL   ,+99999,+99999","99,99,9,07,1,99,9,00610,1,99,9,99,9",,"97,1",,,,"MET074SPECI SBGR 011939Z 36005KT 2500 +TSRA BKN020 FEW050CB OVC080 22/22 Q1 013=",
