"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","ED1","GA1","GA2","GA3","GA4","GF1","KA1","MA1","MD1","ME1","MW1","MW2","MW3","OC1","REM","EQD"
"83378099999","2010-01-01T00:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","SY-MT","SBBR ","V020","230,1,N,0015,1","03000,1,C,N","012000,1,N,1","+0211,1","+0183,1","99999,9",,,,,"04,5,+00510,1,99,9","08,5,+03000,1,99,9",,,"08,99,1,04,1,05,1,00450,1,01,1,99,9","240,M,+0266,1","10159,1,08946,1","9,9,999,9,-002,1","3,1510,9","61,1",,,,"SYN088AAXX  01004 83378 21462 82303 10211 20183 38946 48510 8451/ 86162 333 10266 59002 60041;MET062METAR SBBR 010000Z 23003KT 9999 -RA SCT017 OVC100 21/18 Q1016;",
"83378099999","2010-01-01T01:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","FM-15","SBBR ","V020","230,1,N,0021,1","03000,1,C,N","011265,1,N,1","+0210,1","+0180,1","99999,9",,,,,"04,5,+00510,1,99,9","08,5,+03000,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,"61,1",,,,"MET062METAR SBBR 010100Z 23004KT 9999 -RA SCT017 OVC100 21/18 Q1017;",
"83378099999","2010-01-01T02:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","FM-15","SBBR ","V020","080,1,N,0010,1","03000,1,C,N","011265,1,N,1","+0200,1","+0180,1","99999,9",,,,,"04,5,+00510,1,99,9","08,5,+03000,1,99,9",,,"08,99,1,99,9,99,9,99999,9,99,9,99,9",,"10169,1,99999,9",,,"61,1",,,,"MET062METAR SBBR 010200Z 08002KT 9999 -RA SCT017 OVC100 20/18 Q1017;",
"83378099999","2010-01-01T03:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","FM-15","SBBR ","V020","080,1,N,0015,1","03000,1,C,N","011265,1,N,1","+0200,1","+0180,1","99999,9",,,,,"04,5,+00510,1,99,9","07,5,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10159,1,99999,9",,,"61,1",,,,"MET062METAR SBBR 010300Z 08003KT 9999 -RA SCT017 BKN100 20/18 Q1016;",
"83378099999","2010-01-01T04:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","FM-15","SBBR ","V020","030,1,N,0026,1","03000,1,C,N","011265,1,N,1","+0210,1","+0190,1","99999,9",,,,,"04,5,+00510,1,99,9","07,5,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10159,1,99999,9",,,,,,,"MET058METAR SBBR 010400Z 03005KT 9999 SCT017 BKN100 21/19 Q1016;",
"83378099999","2010-01-01T05:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","FM-15","SBBR ","V020","300,1,N,0015,1","03000,1,C,N","011265,1,N,1","+0200,1","+0180,1","99999,9",,,,,"02,5,+00090,1,99,9","07,5,+03000,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10159,1,99999,9",,,,,,,"MET058METAR SBBR 010500Z 30003KT 9999 FEW003 BKN100 20/18 Q1016;",
"83378099999","2010-01-01T06:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","SY-MT","SBBR ","V020","330,1,N,0015,1","00900,1,C,N","020000,1,N,1","+0199,1","+0177,1","99999,9","06,0005,9,1","6,1,06,1","2,1,06,1",,"02,5,+00210,1,99,9","04,5,+00900,1,99,9","07,5,+03000,1,99,9",,"99,99,9,03,1,02,1,00250,1,01,1,00,1",,"10149,1,08937,1","9,9,999,9,+003,1","3,1500,9","02,1",,,,"SYN082AAXX  01064 83378 21370 63303 10199 20177 38937 48500 70262 83210 333 58003 69951;MET065METAR SBBR 010600Z 33003KT 9999 FEW007 SCT030 BKN100 20/18 Q1015;","Q01+000062SCOTCV"
"83378099999","2010-01-01T07:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","FM-15","SBBR ","V020","999,9,C,0000,1","00900,1,C,N","011265,1,N,1","+0200,1","+0180,1","99999,9",,,,,"04,5,+00450,1,99,9","04,5,+00900,1,99,9","07,5,+03000,1,99,9",,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9",,,,,,,"MET065METAR SBBR 010700Z 00000KT 9999 SCT015 SCT030 BKN100 20/18 Q1015;",
"83378099999","2010-01-01T08:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","FM-15","SBBR ","V020","310,1,N,0015,1","02400,1,C,N","011265,1,N,1","+0200,1","+0180,1","99999,9",,,,,"04,5,+00450,1,99,9","07,5,+02400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9",,,,,,,"MET058METAR SBBR 010800Z 31003KT 9999 SCT015 BKN080 20/18 Q1015;",
"83378099999","2010-01-01T09:00:00","4","-15.862583","-47.912666","1060.39","PRESIDENTE JUSCELINO KUBITSCHEK, BR","FM-15","SBBR ","V020","999,9,C,0000,1","02400,1,C,N","011265,1,N,1","+0200,1","+0180,1","99999,9",,,,,"02,5,+00450,1,99,9","07,5,+02400,1,99,9",,,"07,99,1,99,9,99,9,99999,9,99,9,99,9",,"10149,1,99999,9",,,,,,,"MET058METAR SBBR 010900Z 00000KT 9999 FEW015 BKN080 20/18 Q1015;",
