"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","ED1","GA1","GA2","GA3","GA4","GE1","GF1","KA1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"83075099999","2018-01-01T11:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0046,1","00518,1,C,N","009999,1,9,9","+0230,1","+0200,1","99999,9",,"07,1,+00518,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00518,1,99,9,99,9",,"10150,1,99999,9",,,,,"MET051METAR SBGR 011100Z 31009KT 9999 BKN017 23/20 Q1015=",
"83075099999","2018-01-01T12:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0041,1","00518,1,C,N","009999,1,9,9","+0230,1","+0200,1","99999,9",,"07,1,+00518,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00518,1,99,9,99,9",,"10150,1,99999,9",,,,,"MET051METAR SBGR 011200Z 30008KT 9999 BKN017 23/20 Q1015=",
"83075099999","2018-01-01T13:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","330,1,N,0051,1","00518,1,C,N","009999,1,9,9","+0240,1","+0200,1","99999,9",,"07,1,+00518,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00518,1,99,9,99,9",,"10150,1,99999,9",,,,,"MET051METAR SBGR 011300Z 33010KT 9999 BKN017 24/20 Q1015=",
"83075099999","2018-01-01T14:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0041,1","00640,1,C,N","009999,1,9,9","+0250,1","+0200,1","99999,9",,"07,1,+00640,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00640,1,99,9,99,9",,"10150,1,99999,9",,,,,"MET051METAR SBGR 011400Z 30008KT 9999 BKN021 25/20 Q1015=",
"83075099999","2018-01-01T15:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0057,1","00732,1,C,N","009999,1,9,9","+0260,1","+0200,1","99999,9",,"07,1,+00732,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00732,1,99,9,99,9",,"10150,1,99999,9",,,,,"MET051METAR SBGR 011500Z 31011KT 9999 BKN024 26/20 Q1015=",
"83075099999","2018-01-01T16:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0067,1","00823,1,C,N","009999,1,9,9","+0270,1","+0210,1","99999,9",,"07,1,+00823,1,99,9","07,1,+01524,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,07,1,99,9,00823,1,99,9,99,9",,"10140,1,99999,9",,,,,"MET058METAR SBGR 011600Z 30013KT 9999 BKN027 BKN050 27/21 Q1014=",
"83075099999","2018-01-01T17:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0057,1","01524,1,C,N","009999,1,9,9","+0270,1","+0210,1","99999,9",,"04,1,+00914,1,99,9","04,1,+01524,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9",,"10130,1,99999,9",,,,,"MET058METAR SBGR 011700Z 32011KT 9999 SCT030 SCT050 27/21 Q1013=",
"83075099999","2018-01-01T18:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0051,1","01524,1,C,N","009999,1,9,9","+0280,1","+0210,1","99999,9",,"04,1,+00914,1,99,9","04,1,+01524,1,99,9",,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,00914,1,99,9,99,9",,"10130,1,99999,9",,,,,"MET058METAR SBGR 011800Z 32010KT 9999 SCT030 SCT050 28/21 Q1013=",
"83075099999","2018-01-01T19:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","300,1,N,0062,1","99999,9,9,N","009999,1,9,9","+0280,1","+0200,1","99999,9",,"04,1,+01067,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,01067,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET051METAR SBGR 011900Z 30012KT 9999 SCT035 28/20 Q1011=",
"83075099999","2018-01-01T20:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0041,1","99999,9,9,N","009999,1,9,9","+0280,1","+0210,1","99999,9",,"04,1,+01158,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,01158,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET051METAR SBGR 012000Z 31008KT 9999 SCT038 28/21 Q1011=",
"83075099999","2018-01-01T21:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","320,1,N,0031,1","99999,9,9,N","009999,1,9,9","+0280,1","+0210,1","99999,9",,"04,1,+01097,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,04,1,99,9,01097,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET051METAR SBGR 012100Z 32006KT 9999 SCT036 28/21 Q1011=",
"83075099999","2018-01-01T22:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0026,1","99999,9,9,N","009999,1,9,9","+0260,1","+0210,1","99999,9",,"02,1,+01067,1,99,9",,,,"9,MSL   ,+99999,+99999","99,99,9,02,1,99,9,01067,1,99,9,99,9",,"10110,1,99999,9",,,,,"MET051METAR SBGR 012200Z 31005KT 9999 FEW035 26/21 Q1011=",
"83075099999","2018-01-01T23:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","290,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0210,1","99999,9",,,,,,,,,"10120,1,99999,9",,,,,"MET045METAR SBGR 012300Z 29004KT CAVOK 25/21 Q1012=",
"83075099999","2018-01-02T00:00:00","4","-23.432075","-46.469511","749.5","GUARULHOS, BR","FM-15","99999","V020","310,1,N,0021,1","99999,9,9,Y","999999,9,9,9","+0250,1","+0210,1","99999,9",,,,,,,,,"10120,1,99999,9",,,,,"MET045METAR SBGR 020000Z 31004KT CAVOK 25/21 Q1012=",
